Date,BAB
1/4/2005,37016.03238
1/5/2005,37016.7755
1/6/2005,37087.86533
1/7/2005,37150.28157
1/10/2005,37370.92392
1/11/2005,37535.70488
1/12/2005,37496.00916
1/13/2005,37567.92494
1/14/2005,37552.87219
1/17/2005,37549.72584
1/18/2005,37715.02888
1/19/2005,37919.09883
1/20/2005,37898.5847
1/21/2005,38087.01917
1/24/2005,38253.31267
1/25/2005,38150.12713
1/26/2005,38089.17032
1/27/2005,38193.43779
1/28/2005,38283.43201
1/31/2005,38348.79134
2/1/2005,38423.31415
2/2/2005,38617.35885
2/3/2005,38713.74967
2/4/2005,38682.06531
2/7/2005,38743.3698
2/8/2005,38699.64949
2/9/2005,39015.59022
2/10/2005,39207.06194
2/11/2005,39196.13931
2/14/2005,39258.50715
2/15/2005,39203.86733
2/16/2005,39305.83087
2/17/2005,39463.7582
2/18/2005,39408.71376
2/21/2005,39404.99923
2/22/2005,39336.64117
2/23/2005,39344.56667
2/24/2005,39358.53818
2/25/2005,39536.46836
2/28/2005,39655.28654
3/1/2005,39571.52939
3/2/2005,39681.09227
3/3/2005,39838.0481
3/4/2005,40164.78709
3/7/2005,40287.54163
3/8/2005,40409.41964
3/9/2005,40162.03242
3/10/2005,40086.68511
3/11/2005,40145.78086
3/14/2005,40139.10411
3/15/2005,40202.21103
3/16/2005,40154.52372
3/17/2005,40312.99285
3/18/2005,40262.35837
3/21/2005,40141.85655
3/22/2005,40039.45363
3/23/2005,39680.43137
3/24/2005,39670.84871
3/25/2005,39666.7744
3/28/2005,39686.83482
3/29/2005,39712.91907
3/30/2005,39588.9097
3/31/2005,39869.41716
4/1/2005,39962.09847
4/4/2005,40015.05389
4/5/2005,40135.14403
4/6/2005,40066.22122
4/7/2005,39996.51359
4/8/2005,39905.62828
4/11/2005,39949.72233
4/12/2005,39934.06788
4/13/2005,39962.05452
4/14/2005,39815.056
4/15/2005,39794.86369
4/18/2005,39734.70974
4/19/2005,39749.5401
4/20/2005,39719.46875
4/21/2005,39637.41391
4/22/2005,40034.72082
4/25/2005,40097.55652
4/26/2005,40103.95536
4/27/2005,40093.69558
4/28/2005,40202.75153
4/29/2005,40413.00479
5/2/2005,40277.98795
5/3/2005,40238.7965
5/4/2005,40171.28937
5/5/2005,40166.10598
5/6/2005,40129.8109
5/9/2005,40010.78217
5/10/2005,40057.01208
5/11/2005,39970.21924
5/12/2005,39858.50174
5/13/2005,40068.18633
5/16/2005,39781.68036
5/17/2005,39845.08515
5/18/2005,39642.61296
5/19/2005,39530.52733
5/20/2005,39476.20408
5/23/2005,39509.87173
5/24/2005,39450.13625
5/25/2005,39496.71196
5/26/2005,39350.76054
5/27/2005,39503.79957
5/30/2005,39499.65604
5/31/2005,39655.70658
6/1/2005,39718.53797
6/2/2005,39548.5328
6/3/2005,39808.98815
6/6/2005,39971.83658
6/7/2005,40048.66304
6/8/2005,40135.04672
6/9/2005,40095.52352
6/10/2005,40166.22683
6/13/2005,40238.15064
6/14/2005,40243.01832
6/15/2005,40428.43967
6/16/2005,40452.61226
6/17/2005,40518.5211
6/20/2005,40618.43115
6/21/2005,40676.16783
6/22/2005,40636.25278
6/23/2005,40705.35507
6/24/2005,40720.29983
6/27/2005,40898.72269
6/28/2005,40782.48295
6/29/2005,40889.15237
6/30/2005,41102.57513
7/1/2005,41178.06758
7/4/2005,41173.45968
7/5/2005,41225.24726
7/6/2005,41179.10078
7/7/2005,41189.52449
7/8/2005,41146.22812
7/11/2005,41070.47976
7/12/2005,41130.26093
7/13/2005,41141.10526
7/14/2005,40685.14618
7/15/2005,40817.17192
7/18/2005,40840.33715
7/19/2005,40757.85824
7/20/2005,40731.85364
7/21/2005,40822.4958
7/22/2005,41054.84008
7/25/2005,41179.22777
7/26/2005,41080.95056
7/27/2005,41221.37661
7/28/2005,41557.7672
7/29/2005,41761.05144
8/1/2005,41569.17662
8/2/2005,41696.98045
8/3/2005,41835.66212
8/4/2005,41856.208
8/5/2005,41680.65481
8/8/2005,41568.85376
8/9/2005,41642.47636
8/10/2005,41712.40649
8/11/2005,41813.23191
8/12/2005,41929.32404
8/15/2005,41831.23262
8/16/2005,41758.44629
8/17/2005,41525.25293
8/18/2005,41473.6799
8/19/2005,41542.44906
8/22/2005,41538.1803
8/23/2005,41539.20279
8/24/2005,41672.94306
8/25/2005,41660.23842
8/26/2005,41619.47501
8/29/2005,41552.27419
8/30/2005,41645.16151
8/31/2005,41872.30166
9/1/2005,42022.27639
9/2/2005,41974.42762
9/5/2005,41969.2954
9/6/2005,42031.01332
9/7/2005,41942.01272
9/8/2005,41821.13079
9/9/2005,41905.54505
9/12/2005,41734.30027
9/13/2005,41513.4101
9/14/2005,41554.85652
9/15/2005,41692.85808
9/16/2005,41878.56129
9/19/2005,41989.7575
9/20/2005,41968.24906
9/21/2005,41900.94306
9/22/2005,41766.9667
9/23/2005,41817.39172
9/26/2005,41846.15039
9/27/2005,41879.62941
9/28/2005,41929.62071
9/29/2005,41901.12404
9/30/2005,41958.77307
10/3/2005,41889.2542
10/4/2005,41856.43325
10/5/2005,41671.21338
10/6/2005,41546.06685
10/7/2005,41584.06371
10/10/2005,41564.78035
10/11/2005,41661.11266
10/12/2005,41477.5767
10/13/2005,41069.84661
10/14/2005,41218.82651
10/17/2005,41253.88247
10/18/2005,41218.40136
10/19/2005,41128.4981
10/20/2005,40939.14136
10/21/2005,41003.72599
10/24/2005,40942.48964
10/25/2005,40958.17014
10/26/2005,40843.75612
10/27/2005,40868.8669
10/28/2005,41019.34307
10/31/2005,41033.46499
11/1/2005,40983.65384
11/2/2005,40986.37764
11/3/2005,40898.7583
11/4/2005,40842.62332
11/7/2005,40723.30026
11/8/2005,40819.05364
11/9/2005,40918.38782
11/10/2005,40933.56217
11/11/2005,40910.55908
11/14/2005,40812.36611
11/15/2005,40809.64325
11/16/2005,40839.8136
11/17/2005,40889.56161
11/18/2005,40780.18535
11/21/2005,40728.64541
11/22/2005,40767.42737
11/23/2005,40896.31333
11/24/2005,40890.7838
11/25/2005,40977.18623
11/28/2005,41045.51828
11/29/2005,41141.20733
11/30/2005,41032.916
12/1/2005,40936.72562
12/2/2005,40917.93769
12/5/2005,40937.69674
12/6/2005,40990.0539
12/7/2005,41072.42302
12/8/2005,41079.72405
12/9/2005,41004.6355
12/12/2005,40912.79429
12/13/2005,41018.98182
12/14/2005,41077.01931
12/15/2005,41161.52687
12/16/2005,41174.01615
12/19/2005,41285.88557
12/20/2005,41233.2758
12/21/2005,41081.49506
12/22/2005,41144.66916
12/23/2005,41298.05653
12/26/2005,41292.50134
12/27/2005,41216.00474
12/28/2005,41300.89877
12/29/2005,41294.94171
12/30/2005,41605.092
1/2/2006,41599.38226
1/3/2006,41448.20709
1/4/2006,41437.5261
1/5/2006,41194.87601
1/6/2006,41163.79514
1/9/2006,41037.77052
1/10/2006,41048.40891
1/11/2006,41013.99259
1/12/2006,41108.27937
1/13/2006,41263.75268
1/16/2006,41258.09741
1/17/2006,41486.52222
1/18/2006,41384.34523
1/19/2006,41391.63531
1/20/2006,41690.4698
1/23/2006,41738.2251
